,t,Reproduction S,Death S,Death I,Dispersal I,Dispersal S,Extinction,Infection,Recovery
844,7.842077390964146,9309.0,7083.016500000001,763.5,381.75,310.30000000000007,2.0000000000000004,12122.054999999998,11452.5
845,7.848157416524369,9322.5,7092.1185,763.3000000000001,381.65000000000003,310.75,2.0000000000000004,12123.669999999998,11449.5
846,7.854247652228372,9325.5,7096.360500000002,764.0000000000001,382.00000000000006,310.85,2.0000000000000004,12138.82,11460.0
847,7.860330017483076,9331.5,7092.438,763.6,381.8,311.05,2.0000000000000004,12145.925000000001,11454.0
848,7.866417855537491,9343.5,7101.441000000001,763.3,381.65,311.44999999999993,2.0000000000000004,12142.914999999999,11449.5
849,7.872516869765875,9330.0,7072.197000000001,764.2,382.1,311.0,2.0000000000000004,12078.770000000002,11463.0
850,7.878655361886708,9330.0,7068.210000000001,763.8000000000001,381.90000000000003,310.99999999999994,2.0000000000000004,12067.54,11457.0
851,7.884803087154016,9352.5,7092.1995,764.3000000000001,382.15000000000003,311.75,2.0000000000000004,12092.64,11464.5
852,7.890949030523207,9355.5,7088.581499999999,764.4000000000002,382.2000000000001,311.84999999999997,2.0000000000000004,12069.31,11466.0
853,7.89711508851175,9379.5,7101.718499999999,763.2,381.6,312.65,2.0000000000000004,12081.380000000001,11448.0
854,7.903295739333066,9402.0,7127.0115000000005,763.5,381.75,313.40000000000003,2.0000000000000004,12095.635000000002,11452.5
855,7.9094803369270394,9402.0,7117.062000000001,763.7000000000002,381.8500000000001,313.4,2.0000000000000004,12072.470000000003,11455.5
856,7.915685209863628,9412.5,7117.857000000001,763.6,381.8,313.75,2.0000000000000004,12048.735000000002,11454.0
857,7.921917429201353,9403.5,7106.7210000000005,764.6999999999999,382.34999999999997,313.45000000000005,2.0000000000000004,12026.685000000001,11470.5
858,7.928158868776051,9451.5,7147.795500000001,762.9,381.45,315.05000000000007,2.0000000000000004,12077.089999999998,11443.5
859,7.9344041383823445,9453.0,7146.594,763.0000000000001,381.50000000000006,315.1,2.0000000000000004,12065.77,11445.0
860,7.9406590616818145,9445.5,7139.980500000001,764.8000000000001,382.40000000000003,314.84999999999997,2.0000000000000004,12061.509999999998,11472.0
861,7.94691127068095,9462.0,7157.998499999999,764.6,382.3,315.40000000000003,2.0000000000000004,12092.474999999999,11469.0
862,7.953153925995632,9462.0,7152.157500000001,765.5999999999999,382.79999999999995,315.40000000000003,2.0000000000000004,12073.635000000002,11484.0
863,7.959411867750752,9498.0,7182.923999999999,765.5000000000002,382.7500000000001,316.6000000000001,2.0000000000000004,12071.539999999999,11482.5
864,7.965697442785831,9537.0,7210.157999999999,763.6000000000001,381.80000000000007,317.90000000000003,2.0000000000000004,12107.05,11454.0
865,7.97199317656158,9577.5,7254.986999999999,763.3000000000001,381.65000000000003,319.25,2.0000000000000004,12187.175,11449.5
866,7.978262378377977,9559.5,7239.994500000001,764.9,382.45,318.65,2.0000000000000004,12175.390000000001,11473.5
867,7.984525564139221,9570.0,7257.3675,765.0000000000002,382.5000000000001,319.0000000000001,2.0000000000000004,12192.905000000002,11475.0
868,7.990780421984045,9582.0,7263.189,765.1999999999999,382.59999999999997,319.4,2.0000000000000004,12206.59,11478.0
869,7.99703827242525,9604.5,7277.747999999999,763.6000000000001,381.80000000000007,320.15,2.0000000000000004,12204.404999999999,11454.0
870,8.003316585470671,9664.5,7331.6595,760.7,380.35,322.15000000000003,2.0000000000000004,12278.839999999998,11410.5
871,8.00959084156832,9645.0,7319.490000000002,763.4,381.7,321.5,2.0000000000000004,12261.66,11451.0
872,8.015858846385326,9652.5,7335.1095,765.1000000000003,382.5500000000001,321.75,2.0000000000000004,12267.84,11476.5
873,8.022122840733514,9690.0,7362.5865,763.1,381.55,323.00000000000006,2.0000000000000004,12288.905,11446.5
874,8.028403656815959,9691.5,7363.1415,763.1,381.55,323.05,2.0000000000000004,12257.739999999998,11446.5
875,8.034705088784856,9661.5,7346.2485,766.8000000000001,383.40000000000003,322.05000000000007,2.0000000000000004,12251.59,11502.0
876,8.040983365300884,9663.0,7342.645499999999,767.1,383.55,322.09999999999997,2.0000000000000004,12238.315,11506.5
877,8.047273855441238,9654.0,7336.6245,769.1000000000001,384.55000000000007,321.8,2.0000000000000004,12248.894999999999,11536.5
878,8.05355035931996,9657.0,7336.633499999997,770.1,385.05,321.90000000000003,2.0000000000000004,12254.185,11551.5
879,8.059827345141251,9642.0,7320.031499999998,771.4000000000001,385.70000000000005,321.4,2.0000000000000004,12215.005000000001,11571.0
880,8.066119909553496,9651.0,7321.132500000001,770.6,385.3,321.7,2.0000000000000004,12187.365,11559.0
881,8.072440152343894,9636.0,7306.821000000001,771.9000000000001,385.95000000000005,321.20000000000005,2.0000000000000004,12177.449999999999,11578.5
882,8.078756606721,9687.0,7346.4855,768.7,384.35,322.9000000000001,2.0000000000000004,12206.795,11530.5
883,8.085094211557116,9703.5,7369.147499999998,770.0,385.0,323.4500000000001,2.0000000000000004,12243.8,11550.0
884,8.09141549051193,9738.0,7402.718999999999,769.1999999999999,384.59999999999997,324.6,2.0000000000000004,12262.630000000003,11538.0
885,8.097747457205763,9742.5,7403.886,770.2999999999998,385.1499999999999,324.75,2.0000000000000004,12258.405000000002,11554.5
886,8.104086931040175,9766.5,7422.259500000001,770.5,385.25,325.55000000000007,2.0000000000000004,12269.22,11557.5
887,8.110438310216832,9784.5,7430.986500000001,769.8,384.9,326.15,2.0000000000000004,12263.680000000002,11547.0
888,8.116810231172648,9772.5,7416.920999999999,770.7999999999998,385.3999999999999,325.75,2.0000000000000004,12244.895,11562.0
